Q,Month,Theme,Focus,Wk1 Focus,Wk2 Focus,Wk3 Focus,Wk4 Focus,Review Check-in,Done
Q1,January,Foundation Month,Build your base,brand identity,URL,positioning statement,2 lead magnets,"Foundation Month: Build your base. Check-ins: weeks 1, 2, 4.",❌
Q2,February,Content Month,Post consistently,30 Reels/TikToks,12 shorts,4 long-form videos,nailed your primary platform,"Content Month: Post consistently. Check-ins: weeks 1, 2, 4.",❌
Q3,March,Audience Month,Grow from ___,launch auto-DM sequence,start community invite,grow followers from current to target,,"Audience Month: Grow from ___. Check-ins: weeks 1, 2, 4.",❌
Q4,April,Network Month,Meet the right people,reach out to 50 peers in niche,comment on 30 top creators posts daily,engage in 3 creator communities,,"Network Month: Meet the right people. Check-ins: weeks 1, 2, 4.",❌
Q5,May,Monetise Study Month,Learn the 5 ways,research 10 monetisation models,interview 3 creators who actually monetise,identify fit,write pricing proposals,"Monetise Study Month: Learn the 5 ways. Check-ins: weeks 1, 2, 4.",❌
Q6,June,Launch Month,Get first revenue,pick one model,outline the offer,launch to existing audience,chase first 10 customers,"Launch Month: Get first revenue. Check-ins: weeks 1, 2, 4.",❌
Q7,July,Review & Reset,What worked,review first-half metrics,kill 1 thing,double 1 thing,set H2 goals,"Review & Reset: What worked. Check-ins: weeks 1, 2, 4.",❌
Q8,August,Content Upgrade,Level up quality,invest in equipment upgrade,hire 1 video editor or AI tool,publish 1 pillar episode,,"Content Upgrade: Level up quality. Check-ins: weeks 1, 2, 4.",❌
Q9,September,Partnerships,Grow without content,reach 50 potential affiliate partners,setup affiliate program,pitch 5 big-ticket partners,,"Partnerships: Grow without content. Check-ins: weeks 1, 2, 4.",❌
Q10,October,Scale Month,Multiply distribution,repurpose 50 content pieces into 10 new formats,launch newsletter or sub-stack,publish one blog per week,,"Scale Month: Multiply distribution. Check-ins: weeks 1, 2, 4.",❌
Q11,November,Creation Sprint,Ship the product,build a paid product,beta test with 20 subscribers from community,refine based on feedback,,"Creation Sprint: Ship the product. Check-ins: weeks 1, 2, 4.",❌
Q12,December,Review + Goal,Year 1 complete,review all metrics,celebrate wins,plan Year 2,write next year's annual calendar,"Review + Goal: Year 1 complete. Check-ins: weeks 1, 2, 4.",❌
